English_speaker,Course_instructor,Course,Summer_or_regular_semester,Class_size,Class_attribute
2,14,23,2,17,2
2,5,2,2,37,1
1,17,17,2,31,3
2,22,1,2,51,1
2,10,3,2,19,1
2,23,3,1,20,3
2,11,1,2,51,1
1,5,2,2,33,3
2,15,3,1,17,3
1,11,16,2,22,2
1,10,3,2,21,3
2,7,11,1,20,3
2,7,11,2,10,2
2,2,9,2,31,2
2,23,3,2,10,2
2,3,2,2,26,1
2,15,3,1,17,3
2,9,24,2,20,2
1,14,15,2,32,1
2,24,26,2,21,2
2,20,2,2,25,2
2,10,3,2,12,1
2,23,3,1,20,3
2,20,2,2,45,3
2,7,11,2,30,1
