Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.0,0.0,0.0,0.0,0.097421407699585
BaggingClassifier,0.0,0.0,0.0,0.0,0.008770942687988299
CalibratedClassifierCV,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.006011009216308604
ExtraTreesClassifier,0.0,0.0,0.0,0.0,0.021604299545288003
DecisionTreeClassifier,0.0,0.0,0.0,0.0,0.0018839836120606007
PassiveAggressiveClassifier,-0.08333333333333337,-0.08333333333333315,-0.08333333333333315,-0.08391608391608396,0.001733303070068401
Perceptron,-0.125,-0.125,-0.125,-0.12521739130434784,0.002010107040405301
NuSVC,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0027358531951904
LogisticRegression,0.0,0.0,0.0,0.0,0.0013365745544433993
LinearSVC,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0021336078643799
LinearDiscriminantAnalysis,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0010869503021240009
LGBMClassifier,0.0,0.0,0.0,0.0,-0.00618672370910639
XGBClassifier,0.0,0.0,0.0,0.0,0.04808259010314939
RidgeClassifierCV,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0016460418701171996
SGDClassifier,-0.25,-0.25,-0.2499999999999999,-0.2571428571428571,0.001187801361084
RidgeClassifier,-0.04166666666666663,-0.04166666666666685,-0.04166666666666685,-0.04173913043478261,0.0017931461334227995
RandomForestClassifier,0.0,0.0,0.0,0.0,0.025182008743286105
KNeighborsClassifier,0.04166666666666663,0.04166666666666685,0.04166666666666685,0.04173913043478261,-0.00011634826660160066
BernoulliNB,-0.16666666666666674,-0.16666666666666652,-0.1666666666666664,-0.16990108120542913,0.0019159317016601996
SVC,0.0,0.0,0.0,0.0,0.0007777214050293003
LabelSpreading,0.0,0.0,0.0,0.0,0.0014445781707763984
LabelPropagation,0.0,0.0,0.0,0.0,0.0005123615264892006
GaussianNB,0.0,0.0,0.0,0.0,0.0006802082061766988
NearestCentroid,0.0,0.0,0.0,0.0,0.002081155776977499
ExtraTreeClassifier,0.04166666666666674,0.04166666666666652,0.04166666666666674,0.04159420289855076,0.0011882781982421996
QuadraticDiscriminantAnalysis,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.5802197802197802,0.0019061565399169002
DummyClassifier,0.0,0.0,0.0,0.0,0.0034265518188476996
