Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NearestCentroid,0.5751220294136659,0.5926239073209831,,0.6131722499689901,0.19829714298248285
Perceptron,0.6760896976768183,0.559493640644563,,0.6712989779072381,0.4780724048614502
BernoulliNB,0.6976492496554718,0.5558036036030373,,0.684931929704593,0.27072119712829584
GaussianNB,0.7004579993527589,0.5491586355152049,,0.6594482994325386,0.19833457469940186
QuadraticDiscriminantAnalysis,0.7129564264416746,0.5190751013737206,,0.6649823309915718,0.3258272409439087
DecisionTreeClassifier,0.6865217855834338,0.5104758834306372,,0.6865058319675252,1.1381510496139526
LinearDiscriminantAnalysis,0.7489226482244937,0.5042364697302164,,0.6983922437579101,0.41422224044799805
BaggingClassifier,0.7405559675349745,0.5093544977151645,,0.7138444132615267,6.854908347129823
LGBMClassifier,0.7628425191926804,0.5164565584154608,,0.7274068157134318,1.2323946952819824
XGBClassifier,0.7601600279209741,0.5139870607324171,,0.7247436794669988,2.217218041419983
PassiveAggressiveClassifier,0.6993455705170943,0.4978734902521871,,0.6814627859518405,0.5048215389251709
CalibratedClassifierCV,0.7516064547980347,0.492433889396982,,0.699288092674926,4.4229960441589355
ExtraTreeClassifier,0.6701801520390449,0.4883041739991859,,0.6725424630363981,0.2682503461837768
AdaBoostClassifier,0.7569596945798802,0.4997283914937729,,0.7154735667214109,3.964577555656433
LogisticRegression,0.7536074614611288,0.49099188319331133,,0.7047128502067305,0.3848600387573242
RandomForestClassifier,0.7585471794899569,0.49611012919271247,,0.7185964845961159,13.654752016067505
SVC,0.7563545361630283,0.489881721252604,,0.7086777075453208,913.896136879921
KNeighborsClassifier,0.7277023104788973,0.48254936944949034,,0.7012175313337397,1.3863166570663452
LabelSpreading,0.685154026416747,0.4803601461165836,,0.6817723319197676,310.6836167573929
LabelPropagation,0.6847181937684375,0.47995189677416494,,0.6814313825427019,258.35873544216156
SGDClassifier,0.746423339109642,0.47138192003038903,,0.6822019727950167,1.6704678535461424
LinearSVC,0.7498084512574109,0.47099456732645684,,0.6934455961672368,1.1214784383773804
ExtraTreesClassifier,0.7560550095802505,0.479279776871616,,0.7130842616475086,12.007829308509827
RidgeClassifierCV,0.7476553091877209,0.4540493108551469,,0.6871541144931922,0.4197804927825928
RidgeClassifier,0.7476553091877209,0.4540493108551469,,0.6871541144931922,0.20270001888275144
DummyClassifier,0.7331038823278928,0.41666666666666663,,0.6350074413612953,0.1412969827651977
