English_speaker,Course_instructor,Course,Summer_or_regular_semester,Class_size,Class_attribute
2,4,6,2,65,1
2,1,5,2,19,3
2,1,1,2,36,3
1,7,26,2,12,3
2,1,26,2,3,3
2,8,4,1,20,1
1,19,2,1,9,2
2,12,5,1,45,1
2,7,5,2,16,1
2,15,7,2,15,1
2,12,8,2,41,3
1,21,4,2,49,2
1,3,26,2,23,3
2,1,5,2,44,2
2,6,20,2,59,3
2,18,4,2,17,3
1,6,3,1,41,3
